"Urun Adi","Marka","Kategori","Fiyat","Indirimli Fiyat","Resim","Urun Rengi","Bedava Kargo","Urun Icerik ID","Promosyon","Promosyon Bitis Tarihi","Ortalama Begeni Skoru","Kupon Kazandirma","Ayni Gun Kargo","Url"
"Galaxy Tab A9 64 GB Navy (Samsung Türkiye Garantili)","Samsung","Tablet","	3649","	3649","https://cdn.dsmcdn.com/mnresize/400/-/ty1023/product/media/images/prod/PIM/20231026/12/ca1e2683-f0bf-42e4-bc5d-3682941d7967/1_org_zoom.jpg","Navy","Evet","	767487788",,,"5","Hayir","Hayir","https://www.trendyol.com/samsung/galaxy-tab-a9-64-gb-navy-samsung-turkiye-garantili-p-767487788?boutiqueId=61&merchantId=460815"
"Galaxy Tab A9 64 GB Graphite (Samsung Türkiye Garantili)","Samsung","Tablet","	3350","	3350","https://cdn.dsmcdn.com/mnresize/400/-/ty1025/product/media/images/prod/PIM/20231026/12/cf92bdd3-7ee2-4679-a333-6e201a98f000/1_org_zoom.jpg","Graphite","Hayir","	767487787",,,"0","Hayir","Hayir","https://www.trendyol.com/samsung/galaxy-tab-a9-64-gb-graphite-samsung-turkiye-garantili-p-767487787?boutiqueId=623361&merchantId=968"
"Galaxy Tab A9 64 GB Gümüþ Tablet (Samsung Türkiye Garantili)","Samsung","Tablet","	3699","	3699","https://cdn.dsmcdn.com/mnresize/400/-/ty1025/product/media/images/prod/PIM/20231026/12/7f4c361a-6bfc-48d8-8d2e-184b32a7b5aa/1_org_zoom.jpg","Silver","Evet","	767487785",,,"0","Hayir","Hayir","https://www.trendyol.com/samsung/galaxy-tab-a9-64-gb-gumus-tablet-samsung-turkiye-garantili-p-767487785?boutiqueId=61&merchantId=277268"
"iPad 9. Nesil 64 GB 10.2"" Wi-Fi Uzay Grisi Tablet (Apple Türkiye Garantili)","Apple","Tablet","	10369.49","	9999","https://cdn.dsmcdn.com/mnresize/400/-/ty538/product/media/images/20220920/18/177519249/574062558/1/1_org_zoom.jpg","Uzay Grisi","Hayir","	159077147",,,"4.85","Hayir","Hayir","https://www.trendyol.com/apple/ipad-9-nesil-64-gb-10-2-wi-fi-uzay-grisi-tablet-apple-turkiye-garantili-p-159077147?boutiqueId=623361&merchantId=968"
"Galaxy Tab A8 Wifi 3 GB Ram 32 GB Hafýza Gümüþ Tablet SM-X200(Samsung Türkiye Garantili)","Samsung","Tablet","	3699","	3499","https://cdn.dsmcdn.com/mnresize/400/-/ty983/product/media/images/20230811/13/402118946/364313984/2/2_org_zoom.jpg","Silver","Hayir","	225452029",,,"4.68","Hayir","Hayir","https://www.trendyol.com/samsung/galaxy-tab-a8-wifi-3-gb-ram-32-gb-hafiza-gumus-tablet-sm-x200-samsung-turkiye-garantili-p-225452029?boutiqueId=623361&merchantId=968"
"Galaxy Tab A7 Lite T220 Gri Tablet (Samsung Türkiye Garantili)","Samsung","Tablet","	2972.95","	2899","https://cdn.dsmcdn.com/mnresize/400/-/ty770/product/media/images/20230309/15/299760039/190971587/1/1_org_zoom.jpg","Gri","Hayir","	118641711",,,"4.71","Hayir","Hayir","https://www.trendyol.com/samsung/galaxy-tab-a7-lite-t220-gri-tablet-samsung-turkiye-garantili-p-118641711?boutiqueId=623361&merchantId=968"
"Galaxy Tab A9 Plus 64 GB Koyu Mavi Tablet (Samsung Türkiye Garantili)","Samsung","Tablet","	4299","	4299","https://cdn.dsmcdn.com/mnresize/400/-/ty1023/product/media/images/prod/PIM/20231026/11/4a9c53db-312d-4d3d-a819-28247b4ca605/1_org_zoom.jpg","Koyu Mavi","Hayir","	767487794",,,"5","Hayir","Hayir","https://www.trendyol.com/samsung/galaxy-tab-a9-plus-64-gb-koyu-mavi-tablet-samsung-turkiye-garantili-p-767487794?boutiqueId=623361&merchantId=968"
"10.1 Inc 4 Gb Ram 64 Gb Hafýza 1280*800 Ips Ekran 8 Çekirdek Iþlemcili Sxpro Siyah Tablet","Vorcom","Tablet","	2485","	2485","https://cdn.dsmcdn.com/mnresize/400/-/ty666/product/media/images/20221227/17/247680218/92631427/1/1_org_zoom.jpg","Siyah","Evet","	52231931",,,"4.31","Hayir","Hayir","https://www.trendyol.com/vorcom/10-1-inc-4-gb-ram-64-gb-hafiza-1280-800-ips-ekran-8-cekirdek-islemcili-sxpro-siyah-tablet-p-52231931?boutiqueId=61&merchantId=519473"
"Redmi Pad Se 8/256 Gb Tablet Gri (Xiaomi Türkiye Garantili)","Xiaomi","Tablet","	6935","	6935","https://cdn.dsmcdn.com/mnresize/400/-/ty1016/product/media/images/prod/SPM/PIM/20231011/21/09eaab44-f02b-3f17-9c4f-8f5600473acc/1_org_zoom.jpg","gri","Evet","	770228964",,,"4.79","Hayir","Hayir","https://www.trendyol.com/xiaomi/redmi-pad-se-8-256-gb-tablet-gri-xiaomi-turkiye-garantili-p-770228964?boutiqueId=61&merchantId=470846"
"iPad Air 5. Nesil 64 GB 10.9"" Wi-Fi Mavi Tablet (Apple Türkiye Garantili)","Apple","Tablet","	18459","	17995","https://cdn.dsmcdn.com/mnresize/400/-/ty371/product/media/images/20220323/22/75315351/424543531/2/2_org_zoom.jpg","Mavi","Evet","	266667243",,,"4.74","Hayir","Hayir","https://www.trendyol.com/apple/ipad-air-5-nesil-64-gb-10-9-wi-fi-mavi-tablet-apple-turkiye-garantili-p-266667243?boutiqueId=61&merchantId=661093"
